year,asset,model,rows,dates,mse,mae,correlation
2022,QQQ,past_mean,52,52,0.0015249898406507205,0.0316751005135865,4.2730929212903745e-17
2022,GLD,ridge1,52,52,0.0003724928093090938,0.014761801488993136,0.11426004229706326
2022,GLD,ridge100,52,52,0.0003736064975406704,0.014806673080178705,0.09886475897872125
2022,GLD,gbm2,52,52,0.0003898487348039586,0.015400786415204554,0.005699999292971649
2022,GLD,gbm3,52,52,0.0003927601245680027,0.015377529356592163,-0.005450208597771813
2022,GLD,mlp16,52,52,0.00033351414644936645,0.014260200945978296,0.39552293912182224
2022,GLD,mlp32,52,52,0.00032499969166372605,0.015065732367341444,0.3938838793206017
2022,GLD,sequence16,52,52,0.0004121660912549449,0.016063404541143148,0.12402785224064314
2022,GLD,sequence32,52,52,0.0003863864562619444,0.015774125531142012,0.25275797335722827
2022,GLD,selected,52,52,0.0003736064975406704,0.014806673080178705,0.09886475897872125
2022,GLD,zero,52,52,0.00037424492102440814,0.01474971756602377,
2022,GLD,past_mean,52,52,0.00037481929777739994,0.014792062993908294,-1.1038433081955385e-16
2023,pooled,ridge1,156,52,0.00042114705379535627,0.016344168242359694,0.029781505673753983
2023,pooled,ridge100,156,52,0.0004199723320432193,0.016323002805545075,0.036321962158612456
2023,pooled,gbm2,156,52,0.0004199087327677155,0.016203988256568838,-0.04232134818959304
2023,pooled,gbm3,156,52,0.0004247302350581289,0.016218417098702923,-0.03199627489519342
2023,pooled,mlp16,156,52,0.0004676968573340709,0.01685641738499924,-0.03631344024327347
2023,pooled,mlp32,156,52,0.0005365996394716242,0.017667389904052856,0.01139939246155895
2023,pooled,sequence16,156,52,0.0004338880106714202,0.016149809544168645,0.14249518819626128
2023,pooled,sequence32,156,52,0.0005757101280127297,0.01871679739336199,-0.02600785887120786
2023,pooled,selected,156,52,0.0004676968573340709,0.01685641738499924,-0.03631344024327347
2023,pooled,zero,156,52,0.000426849838869979,0.01641882501502854,
2023,pooled,past_mean,156,52,0.0004089364481577992,0.016036914223338705,0.12084470979494817
2023,SPY,ridge1,52,52,0.00033409354029911127,0.014295378748686848,0.025866760241710144
2023,SPY,ridge100,52,52,0.0003332230557365728,0.014273424634175453,0.03692351464078116
2023,SPY,gbm2,52,52,0.00032785891387996215,0.013949406338677762,0.17597707492574763
2023,SPY,gbm3,52,52,0.0003287525490276546,0.01391063168164499,0.13940432818881257
2023,SPY,mlp16,52,52,0.0003721890251209282,0.01506497763574117,-0.06422934147891012
2023,SPY,mlp32,52,52,0.0003517977105131287,0.014474181814623384,0.041829417228489284
2023,SPY,sequence16,52,52,0.0003125667709255159,0.013807244288023202,0.28270924136874254
2023,SPY,sequence32,52,52,0.0005125250680871935,0.018149263682705082,-0.06431979623834319
2023,SPY,selected,52,52,0.0003721890251209282,0.01506497763574117,-0.06422934147891012
2023,SPY,zero,52,52,0.0003422201128538097,0.014411022834096137,
2023,SPY,past_mean,52,52,0.0003289205994769434,0.013953313162287208,-7.769200190211085e-17
2023,QQQ,ridge1,52,52,0.0006146394439623357,0.020422987804607804,0.043573993054285345
2023,QQQ,ridge100,52,52,0.0006126512214610512,0.0203961417817005,0.04816673304917509
2023,QQQ,gbm2,52,52,0.0006285715852721421,0.020657298746227848,-0.11233282477467078
2023,QQQ,gbm3,52,52,0.0006410223444982669,0.020819345766041202,-0.10152106754282808
2023,QQQ,mlp16,52,52,0.0007300213524036354,0.021958246914172655,-0.039249183145152716
2023,QQQ,mlp32,52,52,0.0009352754820042765,0.024927768913925976,-0.01849401178468023
2023,QQQ,sequence16,52,52,0.0006039341206514524,0.019468282741477123,0.15198297960073637
2023,QQQ,sequence32,52,52,0.0008682596162302818,0.023546900077002893,-0.04796611527361197
2023,QQQ,selected,52,52,0.0007300213524036354,0.021958246914172655,-0.039249183145152716
2023,QQQ,zero,52,52,0.0006300863094055013,0.020737713693383047,
2023,QQQ,past_mean,52,52,0.0005924059995047603,0.020135076682542233,1.4000997329857419e-16
2023,GLD,ridge1,52,52,0.0003147081771246215,0.014314138173784432,-0.0435467501034998
2023,GLD,ridge100,52,52,0.00031404271893203413,0.01429944200075927,-0.044230605618620154
2023,GLD,gbm2,52,52,0.0003032956991510424,0.014005259684800892,0.081558300893886
2023,GLD,gbm3,52,52,0.0003044158116484653,0.013925273848422577,0.06018846901508609
2023,GLD,mlp16,52,52,0.0003008801944776488,0.013546027605083881,0.13590500703392835
2023,GLD,mlp32,52,52,0.0003227257258974675,0.013600218983609202,0.15671713095570278
2023,GLD,sequence16,52,52,0.0003851631404372924,0.0151739016030056,-0.02219253692846152
2023,GLD,sequence32,52,52,0.0003463456997207136,0.014454228420377998,0.10838257106095296
2023,GLD,selected,52,52,0.0003008801944776488,0.013546027605083881,0.13590500703392835
2023,GLD,zero,52,52,0.00030824309435062604,0.014107738517606435,
2023,GLD,past_mean,52,52,0.000305482745491694,0.014022352825186673,6.112524988680096e-17
2024,pooled,ridge1,153,51,0.0004735196770040171,0.016103304011992482,0.15017413472023383
2024,pooled,ridge100,153,51,0.00047380626976236984,0.016104808220713772,0.1501098439301399
2024,pooled,gbm2,153,51,0.0004766803911282324,0.01600403835592304,0.09867478011169094
2024,pooled,gbm3,153,51,0.00047168626977161593,0.015938486190286913,0.17276289840337797
2024,pooled,mlp16,153,51,0.00047004237362685824,0.01599636739130244,0.19243403249434302
2024,pooled,mlp32,153,51,0.0005250381820991527,0.016418513502179096,0.055548312875905205
2024,pooled,sequence16,153,51,0.0004774276624435777,0.017120105580544137,0.15517194582028995
2024,pooled,sequence32,153,51,0.0005704807669931444,0.01748319517738946,-0.027285555862634172
2024,pooled,selected,153,51,0.00047380626976236984,0.016104808220713772,0.1501098439301399
2024,pooled,zero,153,51,0.0004963449620856175,0.01652793772974054,
2024,pooled,past_mean,153,51,0.00047766782631088645,0.015988851972907402,0.005473620767657946
2024,SPY,ridge1,51,51,0.00036577977729531237,0.014415883776516909,0.20985177082742196
